date,ww,plant,line,machine,lot,tab,pzt,category,sub_category,fail,pass,total
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,DN,aPZT,pass,pass,0,2415,2444
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,DN,bPZT,category-4,sub-b1,13,0,13
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,UP,aPZT,pass,pass,0,2987,2993
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,aPZT,category-4,sub-a8,39,0,39
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,UP,bPZT,pass,pass,0,2006,2158
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,DN,bPZT,category-1,sub-b2,24,0,24
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,UP,aPZT,category-4,sub-a9,39,0,39
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,DN,aPZT,category-1,sub-a7,8,0,8
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,aPZT,category-2,sub-a9,26,0,26
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,bPZT,category-2,sub-b7,26,0,26
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,UP,bPZT,pass,pass,0,2987,3113
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,bPZT,category-3,sub-b9,4,0,4
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,UP,aPZT,pass,pass,0,2006,2030
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,UP,aPZT,category-5,sub-a8,28,0,28
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,UP,aPZT,category-5,sub-a10,33,0,33
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,DN,bPZT,pass,pass,0,2415,2495
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,UP,bPZT,category-4,sub-b6,6,0,6
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,up,aPZT,category-5,,33,0,33
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,Dn,aPZT,category-4,sub-a1,9,0,9
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,DN,aPZT,category-2,sub-a6,38,0,38
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,UP,aPZT,category-5,sub-a2,39,0,39
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,DN,bPZT,category-1,sub-b6,16,0,16
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,UP,aPZT,category-2,sub-a7,40,0,40
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,DN,aPZT,category-5,sub-a9,26,0,26
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,UP,bPZT,category-4,sub-b3,11,0,11
2026-08-24,35,plant-A,line-A9,machine-A4,lot-2,DN,aPZT,category-4,sub-a5,32,0,32
