date,ww,plant,line,machine,lot,tab,pzt,category,sub_category,fail,pass,total
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,UP,aPZT,pass,pass,0,2053,2100
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,UP,aPZT,category-3,sub-a3,22,0,22
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,bPZT,category-2,sub-b9,18,0,18
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,UP,bPZT,category-5,sub-b1,8,0,8
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,DN,bPZT,category-2,sub-b10,1,0,1
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,UP,aPZT,pass,pass,0,2427,2474
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,DN,aPZT,pass,pass,0,2358,2390
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,DN,aPZT,category-1,sub-a5,18,0,18
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,DN,bPZT,category-3,sub-b10,28,0,28
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,UP,aPZT,category-5,sub-a3,32,0,32
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,aPZT,category-2,sub-a8,23,0,23
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,DN,bPZT,category-3,sub-b10,27,0,27
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,UP,bPZT,category-3,sub-b10,17,0,17
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,aPZT,category-5,sub-a3,35,0,35
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,UP,bPZT,category-2,sub-b9,19,0,19
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,UP,aPZT,category-1,sub-a4,6,0,6
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,DN,aPZT,category-1,sub-a5,6,0,6
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,UP,bPZT,pass,pass,0,2427,2442
2026-08-24,35,plant-B,line-B4,machine-B9,lot-6,DN,bPZT,pass,pass,0,2053,2113
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,DN,bPZT,category-1,sub-b3,17,0,17
