defect_date,plant,line,machine,tab,lot,main_category,defect_category,defect_code,defect_count,total_part
2026-08-19,plant1,line1,machine1,UP,lot1,pass,pass,,0,350
2026-08-19,plant1,line1,machine1,DN,lot1,pass,pass,,0,420
2026-08-19,plant2,line2,machine2,UP,lot2,pass,pass,,0,380
2026-08-19,plant2,line2,machine2,DN,lot2,pass,pass,,0,410
2026-08-19,plant3,line3,machine3,UP,lot3,pass,pass,,0,390
2026-08-19,plant3,line3,machine3,DN,lot3,1,a1,code1,12,12
2026-08-19,plant4,line4,machine4,UP,lot4,2,b2,code2,18,18
2026-08-19,plant4,line4,machine4,DN,lot4,3,a3,code3,7,7
2026-08-19,plant5,line5,machine5,UP,lot5,1,b1,code4,22,22
2026-08-19,plant5,line5,machine5,DN,lot5,2,a2,code5,15,15
2026-08-19,plant6,line6,machine6,UP,lot6,3,b3,code6,9,9
2026-08-19,plant6,line6,machine6,DN,lot6,1,a4,code7,25,25
2026-08-19,plant7,line7,machine7,UP,lot7,2,b4,code8,14,14
2026-08-19,plant7,line7,machine7,DN,lot7,3,a1,code9,20,20
2026-08-19,plant8,line8,machine8,UP,lot8,1,b1,code10,11,11
2026-08-19,plant8,line8,machine8,DN,lot8,2,a2,code1,13,13
2026-08-19,plant9,line9,machine9,UP,lot9,3,b2,code2,17,17
2026-08-19,plant9,line9,machine9,DN,lot9,1,a3,code3,19,19
2026-08-19,plant10,line10,machine10,UP,lot10,2,b4,code4,16,16
2026-08-19,plant10,line10,machine10,DN,lot10,3,a4,code5,10,10
2026-08-20,plant1,line1,machine1,UP,lot1,pass,pass,,0,340
2026-08-20,plant1,line1,machine1,DN,lot1,pass,pass,,0,400
2026-08-20,plant2,line2,machine2,UP,lot2,pass,pass,,0,390
2026-08-20,plant2,line2,machine2,DN,lot2,pass,pass,,0,420
2026-08-20,plant3,line3,machine3,UP,lot3,pass,pass,,0,380
2026-08-20,plant3,line3,machine3,DN,lot3,1,a1,code6,14,14
2026-08-20,plant4,line4,machine4,UP,lot4,2,b2,code7,21,21
2026-08-20,plant4,line4,machine4,DN,lot4,3,a3,code8,9,9
2026-08-20,plant5,line5,machine5,UP,lot5,1,b1,code9,23,23
2026-08-20,plant5,line5,machine5,DN,lot5,2,a2,code10,12,12
2026-08-20,plant6,line6,machine6,UP,lot6,3,b3,code1,8,8
2026-08-20,plant6,line6,machine6,DN,lot6,1,a4,code2,19,19
2026-08-20,plant7,line7,machine7,UP,lot7,2,b4,code3,15,15
2026-08-20,plant7,line7,machine7,DN,lot7,3,a1,code4,17,17
2026-08-20,plant8,line8,machine8,UP,lot8,1,b1,code5,13,13
2026-08-20,plant8,line8,machine8,DN,lot8,2,a2,code6,16,16
2026-08-20,plant9,line9,machine9,UP,lot9,3,b2,code7,10,10
2026-08-20,plant9,line9,machine9,DN,lot9,1,a3,code8,18,18
2026-08-20,plant10,line10,machine10,UP,lot10,2,b4,code9,11,11
2026-08-20,plant10,line10,machine10,DN,lot10,3,a4,code10,20,20
