defect_date,plant,line,machine,tab,lot,main_category,defect_category,defect_code,defect_count,total_part
2026-08-21,plant1,line1,machine1,UP,lot1,pass,pass,,0,350
2026-08-21,plant1,line1,machine1,DN,lot1,pass,pass,,0,420
2026-08-21,plant2,line2,machine2,UP,lot2,pass,pass,,0,380
2026-08-21,plant2,line2,machine2,DN,lot2,pass,pass,,0,410
2026-08-21,plant3,line3,machine3,UP,lot3,pass,pass,,0,390
2026-08-21,plant3,line3,machine3,DN,lot3,,a1,code1,12,12
2026-08-21,,line4,machine4,UP,lot4,1,b1,code2,18,18
2026-08-21,plant4,line4,machine4,DN,lot4,2,a2,code3,7,7
2026-08-21,plant5,line5,machine5,UP,lot5,3,b3,code4,22,22
2026-08-21,plant5,line5,machine5,DN,lot5,1,a3,code5,15,15
2026-08-21,plant6,line6,machine6,UP,lot6,2,b2,code6,9,9
2026-08-21,plant6,line6,machine6,DN,lot6,3,a4,code7,25,25
2026-08-21,plant7,line7,machine7,UP,lot7,1,b4,code8,14,14
2026-08-21,plant7,line7,machine7,DN,lot7,2,a1,code9,20,20
2026-08-21,plant8,line8,machine8,UP,lot8,3,b1,code10,11,11
2026-08-21,plant8,line8,machine8,DN,lot8,1,a2,code1,13,13
2026-08-21,plant9,line9,machine9,UP,lot9,2,b2,code2,17,17
2026-08-21,plant9,line9,machine9,DN,lot9,3,a3,code3,19,19
2026-08-21,plant10,line10,machine10,UP,lot10,1,b4,code4,16,16
2026-08-21,plant10,line10,machine10,DN,lot10,2,a4,code5,10,10
2026-08-22,plant1,line1,machine1,UP,lot1,pass,pass,,0,345
2026-08-22,plant1,line1,machine1,DN,lot1,pass,pass,,0,415
2026-08-22,plant2,line2,machine2,UP,lot2,pass,pass,,0,385
2026-08-22,plant2,line2,machine2,DN,lot2,pass,pass,,0,425
2026-08-22,plant3,line3,machine3,UP,lot3,pass,pass,,0,375
2026-08-22,plant3,line3,machine3,DN,lot3,,b1,code1,13,13
2026-08-22,,line4,machine4,UP,lot4,2,b2,code2,18,18
2026-08-22,plant4,line4,machine4,DN,lot4,3,a2,code3,9,9
2026-08-22,plant5,line5,machine5,UP,lot5,1,b3,code4,21,21
2026-08-22,plant5,line5,machine5,DN,lot5,2,a3,code5,14,14
2026-08-22,plant6,line6,machine6,UP,lot6,3,b4,code6,10,10
2026-08-22,plant6,line6,machine6,DN,lot6,1,a4,code7,23,23
2026-08-22,plant7,line7,machine7,UP,lot7,2,b1,code8,16,16
2026-08-22,plant7,line7,machine7,DN,lot7,3,a1,code9,19,19
2026-08-22,plant8,line8,machine8,UP,lot8,1,b2,code10,13,13
2026-08-22,plant8,line8,machine8,DN,lot8,2,a2,code1,15,15
2026-08-22,plant9,line9,machine9,UP,lot9,3,b3,code2,12,12
2026-08-22,plant9,line9,machine9,DN,lot9,1,a3,code3,20,20
2026-08-22,plant10,line10,machine10,UP,lot10,2,b4,code4,14,14
2026-08-22,plant10,line10,machine10,DN,lot10,3,a4,code5,18,18
2026-08-23,plant1,line1,machine1,UP,lot1,pass,pass,,0,360
2026-08-23,plant1,line1,machine1,DN,lot1,pass,pass,,0,430
2026-08-23,plant2,line2,machine2,UP,lot2,pass,pass,,0,390
2026-08-23,plant2,line2,machine2,DN,lot2,pass,pass,,0,415
2026-08-23,plant3,line3,machine3,UP,lot3,pass,pass,,0,395
2026-08-23,plant3,line3,machine3,DN,lot3,,b1,code1,10,10
2026-08-23,,line4,machine4,UP,lot4,2,b2,code2,17,17
2026-08-23,plant4,line4,machine4,DN,lot4,3,a2,code3,8,8
2026-08-23,plant5,line5,machine5,UP,lot5,1,b3,code4,24,24
2026-08-23,plant5,line5,machine5,DN,lot5,2,a3,code5,13,13
2026-08-23,plant6,line6,machine6,UP,lot6,3,b4,code6,9,9
2026-08-23,plant6,line6,machine6,DN,lot6,1,a4,code7,22,22
2026-08-23,plant7,line7,machine7,UP,lot7,2,b1,code8,15,15
2026-08-23,plant7,line7,machine7,DN,lot7,3,a1,code9,18,18
2026-08-23,plant8,line8,machine8,UP,lot8,1,b2,code10,12,12
2026-08-23,plant8,line8,machine8,DN,lot8,2,a2,code1,14,14
2026-08-23,plant9,line9,machine9,UP,lot9,3,b3,code2,11,11
2026-08-23,plant9,line9,machine9,DN,lot9,1,a3,code3,20,20
2026-08-23,plant10,line10,machine10,UP,lot10,2,b4,code4,13,13
2026-08-23,plant10,line10,machine10,DN,lot10,3,a4,code5,19,19
2026-08-24,plant1,line1,machine1,UP,lot1,pass,pass,,0,345
2026-08-24,plant1,line1,machine1,DN,lot1,pass,pass,,0,415
2026-08-24,plant2,line2,machine2,UP,lot2,pass,pass,,0,385
2026-08-24,plant2,line2,machine2,DN,lot2,pass,pass,,0,425
2026-08-24,plant3,line3,machine3,UP,lot3,pass,pass,,0,375
2026-08-24,plant3,line3,machine3,DN,lot3,,a1,code6,13,13
2026-08-24,,line4,machine4,UP,lot4,2,b2,code7,18,18
2026-08-24,plant4,line4,machine4,DN,lot4,3,a2,code8,9,9
2026-08-24,plant5,line5,machine5,UP,lot5,1,b3,code9,21,21
2026-08-24,plant5,line5,machine5,DN,lot5,2,a3,code10,14,14
2026-08-24,plant6,line6,machine6,UP,lot6,3,b4,code1,10,10
2026-08-24,plant6,line6,machine6,DN,lot6,1,a4,code2,23,23
2026-08-24,plant7,line7,machine7,UP,lot7,2,b1,code3,16,16
2026-08-24,plant7,line7,machine7,DN,lot7,3,a1,code4,19,19
2026-08-24,plant8,line8,machine8,UP,lot8,1,b2,code5,13,13
2026-08-24,plant8,line8,machine8,DN,lot8,2,a2,code6,15,15
2026-08-24,plant9,line9,machine9,UP,lot9,3,b3,code7,12,12
2026-08-24,plant9,line9,machine9,DN,lot9,1,a3,code8,20,20
2026-08-24,plant10,line10,machine10,UP,lot10,2,b4,code9,14,14
2026-08-24,plant10,line10,machine10,DN,lot10,3,a4,code10,18,18
2026-08-25,plant1,line1,machine1,UP,lot1,pass,pass,,0,355
2026-08-25,plant1,line1,machine1,DN,lot1,pass,pass,,0,425
2026-08-25,plant2,line2,machine2,UP,lot2,pass,pass,,0,395
2026-08-25,plant2,line2,machine2,DN,lot2,pass,pass,,0,410
2026-08-25,plant3,line3,machine3,UP,lot3,pass,pass,,0,385
2026-08-25,plant3,line3,machine3,DN,lot3,,b1,code1,11,11
2026-08-25,,line4,machine4,UP,lot4,2,b2,code2,,
2026-08-25,plant4,line4,machine4,DN,lot4,3,a2,code3,9,9
2026-08-25,plant5,line5,machine5,UP,lot5,1,b3,code4,22,22
2026-08-25,plant5,line5,machine5,DN,lot5,2,a3,code5,13,13
2026-08-25,plant6,line6,machine6,UP,lot6,3,b4,code6,10,10
2026-08-25,plant6,line6,machine6,DN,lot6,1,a4,code7,24,24
2026-08-25,plant7,line7,machine7,UP,lot7,2,b1,code8,16,16
2026-08-25,plant7,line7,machine7,DN,lot7,3,a1,code9,19,19
2026-08-25,plant8,line8,machine8,UP,lot8,1,b2,code10,14,14
2026-08-25,plant8,line8,machine8,DN,lot8,2,a2,code1,15,15
2026-08-25,plant9,line9,machine9,UP,lot9,3,b3,code2,12,12
2026-08-25,plant9,line9,machine9,DN,lot9,1,a3,code3,21,21
2026-08-25,plant10,line10,machine10,UP,lot10,2,b4,code4,13,13
2026-08-25,plant10,line10,machine10,DN,lot10,3,a4,code5,20,20
2026-08-26,plant1,line1,machine1,UP,lot1,pass,pass,,0,345
2026-08-26,plant1,line1,machine1,DN,lot1,pass,pass,,0,415
2026-08-26,plant2,line2,machine2,UP,lot2,pass,pass,,0,385
2026-08-26,plant2,line2,machine2,DN,lot2,pass,pass,,0,425
2026-08-26,plant3,line3,machine3,UP,lot3,pass,pass,,0,375
2026-08-26,plant3,line3,machine3,DN,lot3,,a1,code6,13,13
2026-08-26,,line4,machine4,UP,lot4,2,b2,code7,18,18
2026-08-26,plant4,line4,machine4,DN,lot4,3,a2,code8,9,9
2026-08-26,plant5,line5,machine5,UP,lot5,1,b3,code9,21,21
2026-08-26,plant5,line5,machine5,DN,lot5,2,a3,code10,14,14
2026-08-26,plant6,line6,machine6,UP,lot6,3,b4,code1,10,10
2026-08-26,plant6,line6,machine6,DN,lot6,1,a4,code2,23,23
2026-08-26,plant7,line7,machine7,UP,lot7,2,b1,code3,16,16
2026-08-26,plant7,line7,machine7,DN,lot7,3,a1,code4,19,19
2026-08-26,plant8,line8,machine8,UP,lot8,1,b2,code5,13,13
2026-08-26,plant8,line8,machine8,DN,lot8,2,a2,code6,15,15
2026-08-26,plant9,line9,machine9,UP,lot9,3,b3,code7,12,12
2026-08-26,plant9,line9,machine9,DN,lot9,1,a3,code8,20,20
2026-08-26,plant10,line10,machine10,UP,lot10,2,b4,code9,14,14
2026-08-26,plant10,line10,machine10,DN,lot10,3,a4,code10,18,18
2026-08-27,plant1,line1,machine1,UP,lot1,pass,pass,,0,350
2026-08-27,plant1,line1,machine1,DN,lot1,pass,pass,,0,420
2026-08-27,plant2,line2,machine2,UP,lot2,pass,pass,,0,380
2026-08-27,plant2,line2,machine2,DN,lot2,pass,pass,,0,410
2026-08-27,plant3,line3,machine3,UP,lot3,pass,pass,,0,390
2026-08-27,plant3,line3,machine3,DN,lot3,,a1,code1,12,12
2026-08-27,,line4,machine4,UP,lot4,2,b2,code2,18,18
2026-08-27,plant4,line4,machine4,DN,lot4,3,a2,code3,7,7
2026-08-27,plant5,line5,machine5,UP,lot5,1,b3,code4,22,22
2026-08-27,plant5,line5,machine5,DN,lot5,2,a3,code5,15,15
2026-08-27,plant6,line6,machine6,UP,lot6,3,b4,code6,9,9
2026-08-27,plant6,line6,machine6,DN,lot6,1,a4,code7,25,25
2026-08-27,plant7,line7,machine7,UP,lot7,2,b1,code8,14,14
2026-08-27,plant7,line7,machine7,DN,lot7,3,a1,code9,20,20
2026-08-27,plant8,line8,machine8,UP,lot8,1,b2,code10,11,11
2026-08-27,plant8,line8,machine8,DN,lot8,2,a2,code1,13,13
2026-08-27,plant9,line9,machine9,UP,lot9,3,b3,code2,17,17
2026-08-27,plant9,line9,machine9,DN,lot9,1,a3,code3,19,19
2026-08-27,plant10,line10,machine10,UP,lot10,2,b4,code4,16,16
2026-08-27,plant10,line10,machine10,DN,lot10,3,a4,code5,10,10
2026-08-28,plant1,line1,machine1,UP,lot1,pass,pass,,0,340
2026-08-28,plant1,line1,machine1,DN,lot1,pass,pass,,0,400
2026-08-28,plant2,line2,machine2,UP,lot2,pass,pass,,0,390
2026-08-28,plant2,line2,machine2,DN,lot2,pass,pass,,0,420
2026-08-28,plant3,line3,machine3,UP,lot3,pass,pass,,0,380
2026-08-28,plant3,line3,machine3,DN,lot3,,b1,code6,14,14
2026-08-28,,line4,machine4,UP,lot4,2,b2,code7,21,21
2026-08-28,plant4,line4,machine4,DN,lot4,3,a3,code8,9,9
2026-08-28,plant5,line5,machine5,UP,lot5,1,b1,code9,23,23
2026-08-28,plant5,line5,machine5,DN,lot5,2,a2,code10,12,12
2026-08-28,plant6,line6,machine6,UP,lot6,3,b3,code1,8,8
2026-08-28,plant6,line6,machine6,DN,lot6,1,a4,code2,19,19
2026-08-28,plant7,line7,machine7,UP,lot7,2,b4,code3,15,15
2026-08-28,plant7,line7,machine7,DN,lot7,3,a1,code4,17,17
2026-08-28,plant8,line8,machine8,UP,lot8,1,b1,code5,13,13
2026-08-28,plant8,line8,machine8,DN,lot8,2,a2,code6,16,16
2026-08-28,plant9,line9,machine9,UP,lot9,3,b2,code7,10,10
2026-08-28,plant9,line9,machine9,DN,lot9,1,a3,code8,18,18
2026-08-28,plant10,line10,machine10,UP,lot10,2,b4,code9,11,11
2026-08-28,plant10,line10,machine10,DN,lot10,3,a4,code10,20,20
2026-08-29,plant1,line1,machine1,UP,lot1,pass,pass,,0,355
2026-08-29,plant1,line1,machine1,DN,lot1,pass,pass,,0,425
2026-08-29,plant2,line2,machine2,UP,lot2,pass,pass,,0,395
2026-08-29,plant2,line2,machine2,DN,lot2,pass,pass,,0,410
2026-08-29,plant3,line3,machine3,UP,lot3,pass,pass,,0,385
2026-08-29,plant3,line3,machine3,DN,lot3,,b1,code1,11,11
2026-08-29,,line4,machine4,UP,lot4,2,b2,code2,,
2026-08-29,plant4,line4,machine4,DN,lot4,3,a2,code3,9,9
2026-08-29,plant5,line5,machine5,UP,lot5,1,b3,code4,22,22
