defect_date,plant,line,machine,tab,lot,main_category,defect_category,defect_code,defect_count,total_part
2026-08-31,plant-A,line8,machine5,UP,lot3,category 3,a3,code8,21,21
2026-08-31,plant-B,line3,machine6,UP,lot2,category 2,b2,code2,21,21
2026-08-31,plant-B,line6,machine9,UP,lot3,category 3,a4,code9,3,3
2026-08-31,plant-A,line5,machine9,UP,lot2,category 1,a4,code2,9,9
2026-08-31,plant-B,line4,machine7,DN,lot8,pass,pass,,0,234
2026-08-31,plant-B,line2,machine8,DN,lot2,category 2,b2,code6,10,10
2026-08-31,plant-A,line2,machine2,DN,lot4,category 2,b3,code8,14,14
2026-08-31,plant-A,line8,machine5,DN,lot2,pass,pass,,0,252
2026-08-31,plant-A,line9,machine1,UP,lot7,category 1,b4,code1,12,12
2026-08-31,plant-A,line3,machine1,DN,lot3,category 3,a1,code5,10,10
2026-08-31,plant-A,line7,machine9,DN,lot2,category 1,b4,code7,23,23
2026-08-31,plant-A,line3,machine8,DN,lot3,category 1,a3,code5,15,15
2026-08-31,plant-A,line5,machine7,UP,lot7,category 3,a1,code10,10,10
2026-08-31,plant-A,line7,machine1,DN,lot4,category 2,b1,code7,7,7
2026-08-31,plant-A,line4,machine7,UP,lot3,category 2,a4,code2,10,10
2026-08-31,plant-A,line5,machine6,DN,lot4,category 2,b2,code10,23,23
2026-08-31,plant-A,line1,machine1,UP,lot9,category 1,a1,code3,7,7
2026-08-31,plant-A,line9,machine5,UP,lot3,pass,pass,,0,433
2026-08-31,plant-A,line6,machine8,UP,lot4,category 1,b2,code1,20,20
2026-08-31,plant-A,line2,machine3,UP,lot5,category 1,b4,code1,17,17
2026-08-31,plant-B,line6,machine7,UP,lot1,category 1,a3,code2,21,21
2026-08-31,plant-B,line6,machine7,DN,lot7,category 3,b4,code1,6,6
2026-08-31,plant-B,line2,machine6,DN,lot1,category 1,a4,code6,16,16
2026-08-31,plant-B,line4,machine3,DN,lot3,pass,pass,,0,710
2026-08-31,plant-B,line7,machine4,UP,lot1,category 3,a2,code8,1,1
2026-08-31,plant-A,line9,machine2,UP,lot3,category 3,a4,code10,16,16
2026-08-31,plant-B,line1,machine2,UP,lot5,category 1,b4,code7,9,9
2026-08-31,plant-A,line3,machine4,DN,lot6,category 1,b4,code4,11,11
2026-08-31,plant-B,line6,machine8,DN,lot3,category 2,a1,code3,18,18
2026-08-31,plant-B,line2,machine6,UP,lot9,pass,pass,,0,360
2026-09-01,plant-B,line5,machine4,DN,lot8,pass,pass,,0,334
2026-09-01,plant-B,line1,machine3,DN,lot7,category 2,b2,code6,6,6
2026-09-01,plant-B,line8,machine2,UP,lot1,category 3,b4,code1,5,5
2026-09-01,plant-B,line3,machine4,UP,lot1,,a4,code5,6,6
2026-09-01,plant-A,line5,machine8,UP,lot1,category 2,b1,code3,1,1
2026-09-01,plant-A,line5,machine7,UP,lot3,,pass,,0,327
2026-09-01,plant-B,line6,machine3,DN,lot8,category 2,b4,code6,23,23
2026-09-01,plant-A,line2,machine1,DN,lot1,pass,pass,,0,592
