plant,line,machine,tab,lot,main_category,defect_category,defect_code,defect_count,total_part
plant1,line1,machine1,UP,lot1,pass,pass,,0,300
plant1,line1,machine1,DN,lot1,1,a1,code1,12,12
plant2,line2,machine2,UP,lot2,2,b3,code5,25,25
plant2,line2,machine2,DN,lot2,pass,pass,,0,420
plant3,line3,machine3,UP,lot3,3,a4,code3,7,7
plant3,line3,machine3,DN,lot3,pass,pass,,0,380
plant4,line4,machine4,UP,lot4,1,b1,code2,19,19
plant4,line4,machine4,DN,lot4,pass,pass,,0,310
plant5,line5,machine5,UP,lot5,2,a2,code4,33,33
plant5,line5,machine5,DN,lot5,pass,pass,,0,450
plant6,line6,machine6,UP,lot6,3,b2,code6,14,14
plant6,line6,machine6,DN,lot6,pass,pass,,0,275
plant7,line7,machine7,UP,lot7,1,a3,code7,22,22
plant7,line7,machine7,DN,lot7,pass,pass,,0,390
plant8,line8,machine8,UP,lot8,2,b4,code8,9,9
plant8,line8,machine8,DN,lot8,pass,pass,,0,335
plant9,line9,machine9,UP,lot9,3,a1,code9,16,16
plant9,line9,machine9,DN,lot9,pass,pass,,0,410
